date,city,property_type,units_sold,price_per_unit_lakhs,total_sales_value_lakhs
13-04-2025,Delhi,Villa,4,208.86,835.44
15-12-2025,Mumbai,Apartment,1,187.99,187.99
28-09-2025,Chennai,Villa,5,240.22,1201.1
17-04-2025,Bengaluru,Commercial,9,34.01,306.09
13-03-2025,Chennai,Villa,8,73.07,584.56
08-07-2025,Chennai,Commercial,9,31.66,284.94
21-01-2025,Delhi,Apartment,9,172.44,1551.96
13-04-2025,Bengaluru,Villa,7,227.57,1592.99
02-05-2025,Chennai,Apartment,4,83.57,334.28
03-08-2025,Mumbai,Commercial,5,233.95,1169.75
27-11-2025,Mumbai,Commercial,1,43.26,43.26
29-03-2025,Hyderabad,Commercial,1,235.58,235.58
10-04-2025,Bengaluru,Apartment,3,107.36,322.08
26-12-2025,Bengaluru,Apartment,8,52.31,418.48
01-06-2025,Hyderabad,Apartment,2,136.89,273.78
11-05-2025,Chennai,Apartment,4,86.49,345.96
30-05-2025,Bengaluru,Commercial,2,92.67,185.34
05-11-2025,Mumbai,Commercial,5,97.6,488
15-09-2025,Mumbai,Villa,9,206.67,1860.03
10-12-2025,Delhi,Villa,1,148.62,148.62
21-10-2025,Bengaluru,Apartment,5,98.49,492.45
11-07-2025,Chennai,Commercial,9,164.27,1478.43
04-10-2025,Hyderabad,Commercial,1,187.55,187.55
10-06-2025,Hyderabad,Commercial,9,89.98,809.82
10-11-2025,Chennai,Villa,8,120.98,967.84
22-01-2025,Delhi,Villa,4,56.81,227.24
10-09-2025,Hyderabad,Commercial,5,69.85,349.25
24-08-2025,Bengaluru,Commercial,5,179.85,899.25
11-12-2025,Delhi,Commercial,6,69.92,419.52
18-02-2025,Bengaluru,Villa,7,145.54,1018.78
28-02-2025,Mumbai,Commercial,8,185.99,1487.92
19-06-2025,Delhi,Commercial,8,53.51,428.08
07-07-2025,Hyderabad,Apartment,2,154.81,309.62
28-09-2025,Delhi,Apartment,9,86.44,777.96
09-07-2025,Delhi,Villa,7,241.84,1692.88
24-06-2025,Delhi,Commercial,4,136.38,545.52
20-02-2025,Delhi,Commercial,4,207.32,829.28
30-12-2025,Bengaluru,Apartment,8,151.05,1208.4
24-02-2025,Mumbai,Villa,4,39.55,158.2
01-09-2025,Chennai,Apartment,6,169.29,1015.74
16-11-2025,Delhi,Apartment,5,239.31,1196.55
11-05-2025,Hyderabad,Apartment,3,162.35,487.05
03-11-2025,Delhi,Apartment,2,210.22,420.44
15-05-2025,Hyderabad,Commercial,9,224.53,2020.77
21-01-2025,Bengaluru,Commercial,9,80.18,721.62
25-11-2025,Hyderabad,Apartment,1,76.65,76.65
16-06-2025,Chennai,Villa,3,164.42,493.26
01-10-2025,Mumbai,Villa,8,120.43,963.44
30-03-2025,Hyderabad,Villa,6,214.77,1288.62
12-11-2025,Hyderabad,Villa,5,228.01,1140.05
14-01-2025,Mumbai,Apartment,5,107.75,538.75
30-08-2025,Chennai,Commercial,6,82.11,492.66
22-09-2025,Delhi,Villa,7,201.72,1412.04
12-12-2025,Hyderabad,Apartment,1,90.46,90.46
22-02-2025,Mumbai,Villa,9,210.98,1898.82
06-12-2025,Bengaluru,Villa,3,123.22,369.66
02-04-2025,Mumbai,Apartment,4,176.86,707.44
21-09-2025,Bengaluru,Commercial,1,51.02,51.02
04-02-2025,Chennai,Commercial,3,167.25,501.75
25-07-2025,Delhi,Apartment,2,129.39,258.78
22-03-2025,Mumbai,Commercial,2,159.05,318.1
19-02-2025,Hyderabad,Apartment,1,66.96,66.96
26-12-2025,Chennai,Apartment,8,192.11,1536.88
02-01-2025,Mumbai,Apartment,3,219.82,659.46
23-02-2025,Hyderabad,Commercial,3,77.68,233.04
16-04-2025,Mumbai,Apartment,6,51.06,306.36
17-09-2025,Bengaluru,Villa,8,35.2,281.6
06-11-2025,Mumbai,Commercial,9,171.23,1541.07
10-07-2025,Mumbai,Commercial,9,163.56,1472.04
06-08-2025,Mumbai,Commercial,4,150.27,601.08
13-02-2025,Chennai,Commercial,5,81.03,405.15
11-06-2025,Mumbai,Villa,2,116,232
21-07-2025,Hyderabad,Commercial,9,160.78,1447.02
27-09-2025,Bengaluru,Commercial,8,139.29,1114.32
17-12-2025,Bengaluru,Apartment,3,247.31,741.93
31-10-2025,Mumbai,Commercial,9,60.02,540.18
28-09-2025,Chennai,Villa,3,182.93,548.79
03-08-2025,Chennai,Villa,9,118.95,1070.55
09-09-2025,Hyderabad,Villa,2,124.2,248.4
09-07-2025,Mumbai,Villa,9,187.87,1690.83
23-10-2025,Bengaluru,Commercial,8,182.34,1458.72
01-08-2025,Chennai,Commercial,9,248.08,2232.72
27-07-2025,Mumbai,Villa,5,58.25,291.25
25-08-2025,Chennai,Villa,2,52.9,105.8
04-12-2025,Chennai,Commercial,8,189.35,1514.8
22-02-2025,Bengaluru,Villa,6,157.25,943.5
07-10-2025,Delhi,Apartment,8,90.32,722.56
05-08-2025,Hyderabad,Villa,5,47.47,237.35
09-09-2025,Hyderabad,Villa,2,48.84,97.68
07-07-2025,Bengaluru,Apartment,6,226.72,1360.32
10-02-2025,Chennai,Apartment,5,72.21,361.05
06-06-2025,Mumbai,Commercial,5,101.14,505.7
15-01-2025,Chennai,Commercial,1,79.86,79.86
28-10-2025,Bengaluru,Apartment,2,108.1,216.2
06-03-2025,Hyderabad,Apartment,8,45.27,362.16
11-12-2025,Chennai,Commercial,3,144.19,432.57
23-11-2025,Hyderabad,Villa,3,44.87,134.61
09-01-2025,Mumbai,Apartment,8,206.08,1648.64
10-12-2025,Hyderabad,Commercial,8,81.42,651.36
09-05-2025,Hyderabad,Villa,2,148.8,297.6
16-05-2025,Delhi,Apartment,8,223.62,1788.96
04-03-2025,Delhi,Villa,1,173.19,173.19
19-05-2025,Delhi,Commercial,6,147.25,883.5
22-03-2025,Hyderabad,Apartment,8,101.35,810.8
12-06-2025,Bengaluru,Villa,3,103.26,309.78
16-10-2025,Hyderabad,Apartment,8,177.29,1418.32
18-09-2025,Bengaluru,Villa,1,248.71,248.71
19-08-2025,Bengaluru,Commercial,9,175.6,1580.4
10-02-2025,Delhi,Commercial,9,152.71,1374.39
28-01-2025,Chennai,Apartment,5,190.74,953.7
15-05-2025,Mumbai,Villa,4,132.35,529.4
20-07-2025,Delhi,Apartment,6,43.23,259.38
24-11-2025,Delhi,Apartment,7,153.71,1075.97
25-09-2025,Chennai,Villa,5,240.68,1203.4
02-02-2025,Mumbai,Villa,9,68.57,617.13
17-02-2025,Hyderabad,Villa,3,181.8,545.4
03-03-2025,Hyderabad,Commercial,7,74.21,519.47
04-08-2025,Delhi,Apartment,5,147.88,739.4
20-10-2025,Mumbai,Apartment,7,51.27,358.89
09-04-2025,Delhi,Commercial,2,129.08,258.16
21-06-2025,Bengaluru,Villa,4,196.36,785.44
26-12-2025,Delhi,Commercial,2,106.47,212.94
02-08-2025,Delhi,Commercial,7,176.28,1233.96
04-02-2025,Hyderabad,Commercial,2,205,410
15-08-2025,Hyderabad,Apartment,1,233.98,233.98
11-04-2025,Hyderabad,Commercial,9,81.62,734.58
11-05-2025,Bengaluru,Apartment,1,117.85,117.85
14-09-2025,Hyderabad,Apartment,8,63.53,508.24
05-01-2025,Mumbai,Apartment,2,248.35,496.7
06-08-2025,Chennai,Villa,8,233.94,1871.52
